filename,attribution,lat,long,date,species,sr
XC99085 - Cabanis's Bunting - Emberiza cabanisi cabanisi.wav,"Mike Nelson, XC99085. Accessible at www.xeno-canto.org/99085.",6.2389,10.5151,2012,Emberiza cabanisi,44100
XC425437 - Brown-rumped Bunting - Emberiza affinis.wav," Peter Boesman, XC425437. Accessible at www.xeno-canto.org/425437.",13.4253,-15.8467,2018,Emberiza affinis,44100
XC854360 - Golden-breasted Bunting - Emberiza flaviventris.wav," Dries Van de Loock, XC854360. Accessible at www.xeno-canto.org/854360.",-12.45,31.289,2023,Emberiza flaviventris,48000
XC777044 - Somali Bunting - Emberiza poliopleura.wav," isaac kilusu, XC777044. Accessible at www.xeno-canto.org/777044.",3.74,37.59,2023,Emberiza poliopleura,48000
XC298961 - Gosling's Bunting - Emberiza goslingi.wav," Bram Piot, XC298961. Accessible at www.xeno-canto.org/298961.",12.6096,-7.8648,2016,Emberiza goslingi,44100
XC340506 - Annobon Scops Owl - Otus feae.wav," Brendan Sloan, XC340506. Accessible at www.xeno-canto.org/340506.",-1.429,5.636,2016,Otus feae,44100
XC292282 - Brown-tailed Apalis - Apalis flavocincta flavocincta.wav," James Bradley, XC292282. Accessible at www.xeno-canto.org/292282.",0.4711,35.9115,2014,Apalis flavocincta,44100
XC64975 - Yellow-eyed Bristlebill - Bleda ugandae.wav," Erik Eggenkamp, XC64975. Accessible at www.xeno-canto.org/64975.",0.4839,32.9653,2010,Bleda ugandae,44100
XC736624 - Tanzanian Illadopsis - Illadopsis distans.wav," Louis A. Hansen, XC736624. Accessible at www.xeno-canto.org/736624.",-6.0766,37.5593,2021,Illadopsis distans,48000
XC379737 - Atlas Wheatear - Oenanthe seebohmi.wav," Bram Piot, XC379737. Accessible at www.xeno-canto.org/379737.",31.1956,-7.8552,2017,Oenanthe seebohmi,44100
XC172873 - Brown-tailed Apalis - Apalis flavocincta viridiceps.wav," Bram Piot, XC172873. Accessible at www.xeno-canto.org/172873.",9.2002,44.417,2014,Apalis flavocincta,44100
XC125592 - African Green Bee-eater - Merops viridissimus viridissimus.wav," Bram Piot, XC125592. Accessible at www.xeno-canto.org/125592.",12.1736,-2.3593,2013,Merops viridissimus,44100
XC249211 - Red-headed Bunting - Emberiza bruniceps.wav," Ding Li Yong, XC249211. Accessible at www.xeno-canto.org/249211.",39.2824,66.9067,2015,Emberiza bruniceps,44100
XC491240 - Tibetan Bunting - Emberiza koslowi.wav," Peter Boesman, XC491240. Accessible at www.xeno-canto.org/491240.",32.3406,96.5481,2019,Emberiza koslowi,44100
XC768145 - Northern Lapwing - Vanellus vanellus.wav," Stanislas Wroza, XC768145. Accessible at www.xeno-canto.org/768145.",48.0813,92.5326,2022,Vanellus vanellus,44100
XC748418 - Red-billed Starling - Spodiopsar sericeus.wav,"Ray Tsu, XC748418. Accessible at www.xeno-canto.org/748418.",31.1741,121.4214,2022,Spodiopsar sericeus,48000
XC320935 - Visayan Shama - Copsychus superciliaris.wav," Ross Gallardy, XC320935. Accessible at www.xeno-canto.org/320935.",9.1263,123.0295,2016,Copsychus superciliaris,44100
XC350475 - Sinai Rosefinch - Carpodacus synoicus.wav," Tero Linjama, XC350475. Accessible at www.xeno-canto.org/350475.",29.5766,34.891,2009,Carpodacus synoicus,44100
XC286205 - Black Woodpecker - Dryocopus martius.wav," Peter Boesman, XC286205. Accessible at www.xeno-canto.org/286205.",43.725637,142.805428,2015,Dryocopus martius,44100
XC882593 - Light-vented Bulbul - Pycnonotus sinensis sinensis.wav," Geoff Carey, XC882593. Accessible at www.xeno-canto.org/882593.",22.4495,114.3209,2019,Pycnonotus sinensis,48000
XC491443 - Tickell's Leaf Warbler - Phylloscopus affinis.wav," Peter Boesman, XC491443. Accessible at www.xeno-canto.org/491443.",32.3406,96.5481,2019,Phylloscopus affinis,44100
XC604158 - Red-breasted Partridge - Arborophila hyperythra.wav," Jelle Scharringa, XC604158. Accessible at www.xeno-canto.org/604158.",6.0195,116.5431,1982,Arborophila hyperythra,44100
XC670318 - Large Wren-Babbler - Turdinus macrodactylus macrodactylus.wav," Jelle Scharringa, XC670318. Accessible at www.xeno-canto.org/670318.",4.3949,102.4021,1984,Turdinus macrodactylus,44100
XC773632 - Turquoise Flycatcher - Eumyias panayensis.wav," Jelle Scharringa, XC773632. Accessible at www.xeno-canto.org/773632.",16.97,121.03,1985,Eumyias panayensis,44100
XC776491 - Balicassiao - Dicrurus balicassius.wav," Jelle Scharringa, XC776491. Accessible at www.xeno-canto.org/776491.",13.9844,121.8107,1985,Dicrurus balicassius,44100
XC670314 - Jungle Babbler - Argya striata.wav," Jelle Scharringa, XC670314. Accessible at www.xeno-canto.org/670314.",27.1661,77.5241,1986,Argya striata,44100
XC680458 - Rose-ringed Parakeet - Psittacula krameri.wav," Jelle Scharringa, XC680458. Accessible at www.xeno-canto.org/680458.",27.1599,77.5418,1986,Psittacula krameri,44100
XC163531 - Scaly-breasted Cupwing - Pnoepyga albiventer albiventer.wav,"Arend Wassink, XC163531. Accessible at www.xeno-canto.org/163531.",27.5939,85.3912,1986,Pnoepyga albiventer albiventer,44100
XC162389 - Large-billed Crow - Corvus macrorhynchos intermedius.wav,"Arend Wassink, XC162389. Accessible at www.xeno-canto.org/162389.",28.4013,83.6999,1987,Corvus macrorhynchos intermedius,44100
XC118395 - Fairy Gerygone - Gerygone palpebrosa palpebrosa.wav,Niels Poul Dreyer XC118395. Accessible at www.xeno-canto.org/118395.,-9.4667,147.3834,1990,Gerygone palpebrosa,44100
XC594854 - Stella's Lorikeet - Charmosyna stellae.wav," Scott Connop, XC594854. Accessible at www.xeno-canto.org/594854.",-5.9603,143.1545,1993,Charmosyna stellae,44100
XC805675 - White-cheeked Starling - Spodiopsar cineraceus.wav," Vadim Ivushkin, XC805675. Accessible at www.xeno-canto.org/805675.",48.2942,134.8097,1994,Spodiopsar cineraceus,44100
XC19612 - Brown-capped Pygmy Woodpecker - Yungipicus nanus.wav," David Farrow, XC19612. Accessible at www.xeno-canto.org/19612.",27.1501,77.5001,1997,Yungipicus nanus,44100
XC41588 - Grey Butcherbird - Cracticus torquatus.wav,"Vicki Powys, XC41588. Accessible at www.xeno-canto.org/41588.",-33.1214,150.1409,2000,Cracticus torquatus,44100
XC34710 - Snares Penguin - Eudyptes robustus.wav,"Frank Lambert, XC34710. Accessible at www.xeno-canto.org/34710.",-48.01565,166.560974,2000,Eudyptes robustus,44100
XC30875 - Red-capped Robin - Petroica goodenovii.wav,"Vicki Powys, XC30875. Accessible at www.xeno-canto.org/30875.",-33.1214,150.1409,2001,Petroica goodenovii,44100
XC291761 - Palau Flycatcher - Myiagra erythrops.wav,"JVMoore, XC291761. Accessible at www.xeno-canto.org/291761.",7.3397,134.4606,2002,Myiagra erythrops,44100
XC26337 - Masked Bowerbird - Sericulus aureus.wav,"Frank Lambert, XC26337. Accessible at www.xeno-canto.org/26337.",-1.0656,133.7859,2002,Sericulus aureus,48000
XC33100 - Crested Cuckoo-Dove - Reinwardtoena crassirostris.wav,"Niels Krabbe, XC33100. Accessible at www.xeno-canto.org/33100.",-10.5667,161.8167,2006,Reinwardtoena crassirostris,44100
XC26630 - Slaty Robin - Peneothello cyanus.wav,"Niels Krabbe, XC26630. Accessible at www.xeno-canto.org/26630.",-5.9667,143.0667,2006,Peneothello cyanus,44100
XC410803 - Black Monarch - Symposiachrus axillaris fallax.wav,"Rolf A. de By, XC410803. Accessible at www.xeno-canto.org/410803.",-5.9749,144.2956,2007,Symposiachrus axillaris fallax,44100
